,power_consumption,ghi,temp,wind,is_weekend,is_spring,is_summer,is_autumn,is_winter,is_holiday,is_daylight
13176,-1.4039982935423638,-0.4119631193059103,0.6745679367012458,1.0673659291642439,1,0,0,1,0,0,1
13177,-1.5686048551762724,0.022817819347260668,0.702676285855538,1.2606022040249723,1,0,0,1,0,0,1
13178,-1.9042511474638961,-0.3063154145864482,0.5979088026440862,1.536654025254585,1,0,0,1,0,0,1
13179,-1.6084620067478503,-0.3875828797552652,0.6094076727526602,2.0197447124064074,1,0,0,1,0,0,1
13180,-1.3900694528226505,0.035007939122583216,0.5429697565697881,1.343417750393856,1,0,0,1,0,0,1
13181,-1.3545312885302574,-0.4769770914409639,0.5595792356155062,-0.07824912893864869,1,0,0,1,0,0,1
13182,-1.359760724863691,-0.5134661833017626,0.38837383622118254,0.30822342078280907,1,0,0,1,0,0,1
13183,-1.3881342594429402,-0.6598288880708021,0.24144382927829283,0.30822342078280907,1,0,0,1,0,0,1
13184,-1.4723109964280365,-0.6598288880708021,0.16989530415827692,0.40484155821317325,1,0,0,1,0,0,1
13185,-1.5591996262121954,-0.6598288880708021,0.117511562552551,0.01836900849171551,1,0,0,1,0,0,0
13186,-1.523795349644313,-0.6598288880708021,0.07790434328968525,0.01836900849171551,1,0,0,1,0,0,0
13187,-1.517112510706273,-0.6598288880708021,0.04851834190110725,-0.2714854037993777,1,0,0,1,0,0,0
13188,-1.6323161025940667,-0.6598288880708021,0.01785468827824329,-0.2714854037993777,1,0,0,1,0,0,0
13189,-1.7021401787897155,-0.6598288880708021,-0.014086617578906646,-0.07824912893864869,1,0,0,1,0,0,0
13190,-1.6816196683031537,-0.6598288880708021,-0.04730557567034255,0.01836900849171551,1,0,0,1,0,0,0
