,0
2024-05-23 12:00:00+00:00,-0.23749614
2024-05-23 13:00:00+00:00,0.09835458
2024-05-23 14:00:00+00:00,0.3607725
2024-05-23 15:00:00+00:00,0.073513985
2024-05-23 16:00:00+00:00,-0.57619536
2024-05-23 17:00:00+00:00,-0.28218707
2024-05-23 18:00:00+00:00,-0.16739592
2024-05-23 19:00:00+00:00,-0.24810758
2024-05-23 20:00:00+00:00,-0.17607924
2024-05-23 21:00:00+00:00,-0.2695546
2024-05-23 22:00:00+00:00,-0.15954643
2024-05-23 23:00:00+00:00,0.40614092
2024-05-24 00:00:00+00:00,0.4027624
2024-05-24 01:00:00+00:00,0.17248414
2024-05-24 02:00:00+00:00,-0.14149758
2024-05-24 03:00:00+00:00,-0.34669498
2024-05-24 04:00:00+00:00,-0.3798681
2024-05-24 05:00:00+00:00,-0.022090077
2024-05-24 06:00:00+00:00,0.074617505
2024-05-24 07:00:00+00:00,-0.32612157
2024-05-24 08:00:00+00:00,-0.42208743
2024-05-24 09:00:00+00:00,-0.38951516
2024-05-24 10:00:00+00:00,-0.6324702
2024-05-24 11:00:00+00:00,-0.39879048
2024-05-24 12:00:00+00:00,-0.19561327
2024-05-24 13:00:00+00:00,0.01759243
2024-05-24 14:00:00+00:00,-0.083237946
2024-05-24 15:00:00+00:00,0.11723241
2024-05-24 16:00:00+00:00,-0.311746
2024-05-24 17:00:00+00:00,-0.1877166
2024-05-24 18:00:00+00:00,0.04589666
2024-05-24 19:00:00+00:00,1.0404402
2024-05-24 20:00:00+00:00,0.34804073
2024-05-24 21:00:00+00:00,-0.013582796
2024-05-24 22:00:00+00:00,0.20741138
2024-05-24 23:00:00+00:00,-0.069524795
2024-05-25 00:00:00+00:00,-0.09010911
2024-05-25 01:00:00+00:00,-0.159848
2024-05-25 02:00:00+00:00,-0.32963395
2024-05-25 03:00:00+00:00,-0.40492263
2024-05-25 04:00:00+00:00,-0.24786738
2024-05-25 05:00:00+00:00,-0.09651804
2024-05-25 06:00:00+00:00,-0.32810104
2024-05-25 07:00:00+00:00,-0.34573498
2024-05-25 08:00:00+00:00,-0.65601206
2024-05-25 09:00:00+00:00,-0.71283233
2024-05-25 10:00:00+00:00,-1.075131
2024-05-25 11:00:00+00:00,-0.3616495
2024-05-25 12:00:00+00:00,-0.5025673
2024-05-25 13:00:00+00:00,-0.24107075
2024-05-25 14:00:00+00:00,-0.2987733
2024-05-25 15:00:00+00:00,-0.2770599
2024-05-25 16:00:00+00:00,-0.30915123
2024-05-25 17:00:00+00:00,-0.37682712
2024-05-25 18:00:00+00:00,-0.36153337
2024-05-25 19:00:00+00:00,-0.37356952
2024-05-25 20:00:00+00:00,-0.26012135
2024-05-25 21:00:00+00:00,-0.2616487
2024-05-25 22:00:00+00:00,-0.33500206
2024-05-25 23:00:00+00:00,-0.35574806
2024-05-26 00:00:00+00:00,0.06885773
